shelfmark_shea_style,file,px,MB,description,credit,license,commons_page
"Diez A fol. 70, S. 4",DiezAlbumsFallOfBaghdad a (cropped).jpg,2126x2735,1.9,"Conquest of Baghdad by the Mongols 1258. Right part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours and gold on paper. Original size: 37.4 cm x 29.3 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 4. Note the ponton bridge, siege engine, and the refugee on the boat, maybe a high dignitary or even the calif h","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 253",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsFallOfBaghdad_a_(cropped).jpg
"Diez A fol. 70, S. 4",DiezAlbumsFallOfBaghdad.jpg,4429x2786,3.6,"Conquest of Baghdad by the Mongols 1258. Double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours and gold on paper. Original size: 37.4 cm x 29.3 cm (right), 37.2 cm x 29 cm (left). Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 4 (right) and 7 (left). Note the ponton bridges, siege engines, and the dawatdar (a high officia","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 252/253",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsFallOfBaghdad.jpg
"Diez A fol. 70, S. 4",DiezAlbumsFallOfBaghdad a.jpg,2186x2791,1.9,"Conquest of Baghdad by the Mongols 1258. Right part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours and gold on paper. Original size: 37.4 cm x 29.3 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 4. Note the ponton bridge, siege engine, and the refugee on the boat, maybe a high dignitary or even the calif h","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 253",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsFallOfBaghdad_a.jpg
"Diez A fol. 70, S. 4",Fall Of Baghdad (Diez Albums).tif,9472x5963,141.7,"Conquest of Baghdad by the Mongols 1258. Double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours and gold on paper. Original size: 37.4 cm x 29.3 cm (right), 37.2 cm x 29 cm (left). Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 4 (right) and 7 (left). Note the ponton bridges, siege engines, and the dawatdar (a high officia",Diez-Album from Staatsbibliothek zu Berlin Digital Collections,Public domain,https://commons.wikimedia.org/wiki/File:Fall_Of_Baghdad_(Diez_Albums).tif
"Diez A fol. 70, S. 5",DiezAlbumsEnthronization a.jpg,1227x1620,0.5,"Enthronization of a Mongol ruler. Left part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 38.8 cm x 28.7 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 5. For the complete illustration, see Image:DiezAlbumsEnthronization.jpg . Note : the source ( Dschingis Khan und seine Erben ) s","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 258",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization_a.jpg
"Diez A fol. 70, S. 7",DiezAlbumsFallOfBaghdad b.jpg,2188x2786,1.8,"Conquest of Baghdad by the Mongols 1258. Left part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours and gold on paper. Original size: 37.2 cm x 29 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 7. Note the ponton bridge and siege engines. For the complete illustration, see Image:DiezAlbumsFallOfBaghdad.jpg .","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 252",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsFallOfBaghdad_b.jpg
"Diez A fol. 70, S. 7",DiezAlbumsFallOfBaghdad b (cropped1to1).jpg,2132x2131,1.4,"Conquest of Baghdad by the Mongols 1258. Left part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours and gold on paper. Original size: 37.2 cm x 29 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 7. Note the ponton bridge and siege engines. For the complete illustration, see Image:DiezAlbumsFallOfBaghdad.jpg .","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 252",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsFallOfBaghdad_b_(cropped1to1).jpg
"Diez A fol. 70, S. 8, no. 1",DiezAlbumsStudyingTheKoran.jpg,3538x4001,6.4,"A Mongol prince studying the Koran. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 20.3 cm x 26.7 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 8 no.1. This seems to be a tent mosque. The inscription above the arch on the left, which is either the entrance or the Mihrab, reads ""Allah is the ruler""","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 266",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsStudyingTheKoran.jpg
"Diez A fol. 70, S. 8, no. 2",DiezAlbumsBirth.jpg,1655x840,0.4,"Birth of a prince. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 12.7 cm x 25 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 8 no. 2. Note the astrologists with the astrolabs.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 264",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsBirth.jpg
"Diez A fol. 70, S. 10",DiezAlbumsEnthronization b.jpg,1263x1504,0.5,"Enthronization of a Mongol ruler. Right part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 36.1 cm x 29.8 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 10. For the complete illustration, see Image:DiezAlbumsEnthronization.jpg . Note : the source ( Dschingis Khan und seine Erben )","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 258",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization_b.jpg
"Diez A fol. 70, S. 10",DiezAlbumsEnthronization.jpg,2541x1620,1.0,"Enthronization of a Mongol ruler. Double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 36.1 cm x 29.8 cm (right), 38.8 cm x 28.7 cm (left). Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 10 (right) and 5 (left). For only the left or only the right part of the illustration, see Image:DiezAlbumsEnt","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 258",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization.jpg
